"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #46","2020-01-17T18:37:00Z","red","977Z","2442A","None","None","47","2616Z","2381Z","None","None","32"
"Qualifier #47","2020-01-17T18:40:30Z","blue","285Z","9909D","None","None","24","7121D","25600H","None","None","42"
"Qualifier #48","2020-01-17T18:44:00Z","red","1898A","62X","None","None","78","242B","134C","None","None","12"
"Qualifier #49","2020-01-17T18:47:30Z","red","4478Z","40B","None","None","45","1898R","5150J","None","None","17"
"Qualifier #50","2020-01-17T18:51:00Z","red","9909A","4478F","None","None","27","785Z","1898M","None","None","22"
"Qualifier #51","2020-01-17T18:54:30Z","blue","10102A","25600X","None","None","12","404X","10102X","None","None","14"
"Qualifier #52","2020-01-17T18:58:00Z","blue","4478R","9909B","None","None","28","62G","169A","None","None","47"
"Qualifier #53","2020-01-17T19:01:30Z","blue","62B","4478V","None","None","33","2142D","169E","None","None","42"
"Qualifier #54","2020-01-17T19:05:00Z","blue","9909F","404S","None","None","4","134Z","11442X","None","None","31"
"Qualifier #55","2020-01-17T19:08:30Z","red","134J","375X","None","None","20","785E","2602G","None","None","8"
"Qualifier #56","2020-01-17T19:12:00Z","blue","242Y","1353P","None","None","14","3303X","169Y","None","None","68"
"Qualifier #57","2020-01-17T19:15:30Z","blue","2142E","2442E","None","None","28","134D","2442B","None","None","43"
"Qualifier #58","2020-01-17T19:19:00Z","blue","134M","2602A","None","None","35","63857A","2442F","None","None","53"
"Qualifier #59","2020-01-17T19:22:30Z","blue","404Y","25600S","None","None","11","63857D","4180A","None","None","17"
"Qualifier #60","2020-01-17T19:26:00Z","red","785A","1082B","None","None","43","1717B","9909C","None","None","28"
"Qualifier #61","2020-01-17T19:29:30Z","red","10102X","9421X","None","None","26","6277B","41364A","None","None","15"
"Qualifier #62","2020-01-17T19:33:00Z","red","62K","10102Z","None","None","25","1898A","9909D","None","None","19"
"Qualifier #63","2020-01-17T19:36:30Z","blue","62G","1898M","None","None","14","11442Z","5156A","None","None","17"
"Qualifier #64","2020-01-17T19:40:00Z","red","977Z","2142D","None","None","39","4478F","9909F","None","None","13"
"Qualifier #65","2020-01-17T19:43:30Z","blue","9909B","2602H","None","None","27","4478Z","3303D","None","None","60"
"Qualifier #66","2020-01-17T19:47:00Z","blue","11442X","7121D","None","None","2","134J","369A","None","None","76"
"Qualifier #67","2020-01-17T19:50:30Z","blue","2602G","4478R","None","None","34","2142E","3303X","None","None","37"
"Qualifier #68","2020-01-17T19:54:00Z","blue","1353P","25600H","None","None","14","2442E","169E","None","None","25"
"Qualifier #69","2020-01-17T19:57:30Z","red","169Y","2602A","None","None","60","25600X","40B","None","None","50"
"Qualifier #70","2020-01-17T20:01:00Z","red","404X","404S","None","None","16","1082B","169X","None","None","15"
"Qualifier #71","2020-01-17T20:04:30Z","red","4180A","62X","None","None","27","4344X","10102A","None","None","8"
"Qualifier #72","2020-01-17T20:08:00Z","red","1717B","63857A","None","None","53","7121E","785B","None","None","24"
"Qualifier #73","2020-01-17T20:11:30Z","red","2616Z","4478D","None","None","65","62B","242B","None","None","25"
"Qualifier #74","2020-01-17T20:15:00Z","blue","169Z","2381Z","None","None","17","5150J","134Z","None","None","39"
"Qualifier #75","2020-01-17T20:18:30Z","red","1353X","375X","None","None","24","63857D","785Z","None","None","8"
"Qualifier #76","2020-01-17T20:22:00Z","red","285Z","169A","None","None","43","9909A","62A","None","None","39"
"Qualifier #77","2020-01-17T20:25:30Z","blue","1898R","25461Z","None","None","23","4478V","785A","None","None","30"
"Qualifier #78","2020-01-17T20:29:00Z","blue","9909C","2442F","None","None","14","404Y","2442B","None","None","39"
"Qualifier #79","2020-01-17T20:32:30Z","red","4180B","785E","None","None","27","134M","242Y","None","None","11"
"Qualifier #80","2020-01-17T20:36:00Z","red","134C","134D","None","None","37","25600S","2442A","None","None","28"
"Qualifier #81","2020-01-17T20:39:30Z","blue","2602G","404X","None","None","20","62X","9909B","None","None","61"
"Qualifier #82","2020-01-17T20:43:00Z","red","369A","4478F","None","None","41","169X","10102X","None","None","37"
"Qualifier #83","2020-01-17T20:46:30Z","blue","2616Z","2602H","None","None","32","2142D","169Y","None","None","37"
"Qualifier #84","2020-01-17T20:50:00Z","blue","40B","10102A","None","None","5","11442X","41364A","None","None","21"
"Qualifier #85","2020-01-17T20:53:30Z","blue","1082B","5156A","None","None","13","10102Z","3303D","None","None","38"
"Qualifier #86","2020-01-17T20:57:00Z","red","3303X","134J","None","None","45","62B","9909A","None","None","24"
